sql_category_name,sql_title,sql_rating,sql_price_gbp,sql_price_inr,sql_in_stock,pandas_category_name,pandas_title,pandas_rating,pandas_price_gbp,pandas_price_inr,pandas_in_stock
historical-fiction_4,A Flight of Arrows (The Pathfinders #2),5,55.53,5858.42,1,historical-fiction_4,A Flight of Arrows (The Pathfinders #2),5,55.53,5858.42,1
historical-fiction_4,While You Were Mine,5,41.32,4359.26,1,historical-fiction_4,While You Were Mine,5,41.32,4359.26,1
historical-fiction_4,The Red Tent,5,35.66,3762.13,1,historical-fiction_4,The Red Tent,5,35.66,3762.13,1
historical-fiction_4,Mrs. Houdini,5,30.25,3191.38,1,historical-fiction_4,Mrs. Houdini,5,30.25,3191.38,1
historical-fiction_4,The Passion of Dolssa,5,28.32,2987.76,1,historical-fiction_4,The Passion of Dolssa,5,28.32,2987.76,1
historical-fiction_4,Voyager (Outlander #3),5,21.07,2222.89,1,historical-fiction_4,Voyager (Outlander #3),5,21.07,2222.89,1
historical-fiction_4,Between Shades of Gray,5,20.79,2193.34,1,historical-fiction_4,Between Shades of Gray,5,20.79,2193.34,1
historical-fiction_4,A Spy's Devotion (The Regency Spies of London #1),5,16.97,1790.33,1,historical-fiction_4,A Spy's Devotion (The Regency Spies of London #1),5,16.97,1790.33,1
historical-fiction_4,A Paris Apartment,4,39.01,4115.55,1,historical-fiction_4,A Paris Apartment,4,39.01,4115.55,1
historical-fiction_4,World Without End (The Pillars of the Earth #2),4,32.97,3478.34,1,historical-fiction_4,World Without End (The Pillars of the Earth #2),4,32.97,3478.34,1
historical-fiction_4,The Marriage of Opposites,4,28.08,2962.44,1,historical-fiction_4,The Marriage of Opposites,4,28.08,2962.44,1
historical-fiction_4,Lost Among the Living,4,27.7,2922.35,1,historical-fiction_4,Lost Among the Living,4,27.7,2922.35,1
historical-fiction_4,Glory over Everything: Beyond The Kitchen House,3,45.84,4836.12,1,historical-fiction_4,Glory over Everything: Beyond The Kitchen House,3,45.84,4836.12,1
historical-fiction_4,The Secret Healer,3,34.56,3646.08,1,historical-fiction_4,The Secret Healer,3,34.56,3646.08,1
historical-fiction_4,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,3,29.69,3132.3,1,historical-fiction_4,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,3,29.69,3132.3,1
historical-fiction_4,Starlark,3,25.83,2725.06,1,historical-fiction_4,Starlark,3,25.83,2725.06,1
historical-fiction_4,The Constant Princess (The Tudor Court #1),3,16.62,1753.41,1,historical-fiction_4,The Constant Princess (The Tudor Court #1),3,16.62,1753.41,1
historical-fiction_4,The Last Painting of Sara de Vos,2,55.55,5860.52,1,historical-fiction_4,The Last Painting of Sara de Vos,2,55.55,5860.52,1
historical-fiction_4,Girl in the Blue Coat,2,46.83,4940.56,1,historical-fiction_4,Girl in the Blue Coat,2,46.83,4940.56,1
historical-fiction_4,"Love, Lies and Spies",2,20.55,2168.02,1,historical-fiction_4,"Love, Lies and Spies",2,20.55,2168.02,1
historical-fiction_4,Lilac Girls,2,17.28,1823.04,1,historical-fiction_4,Lilac Girls,2,17.28,1823.04,1
historical-fiction_4,Tipping the Velvet,1,53.74,5669.57,1,historical-fiction_4,Tipping the Velvet,1,53.74,5669.57,1
historical-fiction_4,The Guernsey Literary and Potato Peel Pie Society,1,49.53,5225.42,1,historical-fiction_4,The Guernsey Literary and Potato Peel Pie Society,1,49.53,5225.42,1
historical-fiction_4,The Invention of Wings,1,37.34,3939.37,1,historical-fiction_4,The Invention of Wings,1,37.34,3939.37,1
historical-fiction_4,The House by the Lake,1,36.95,3898.23,1,historical-fiction_4,The House by the Lake,1,36.95,3898.23,1
historical-fiction_4,Girl With a Pearl Earring,1,26.77,2824.24,1,historical-fiction_4,Girl With a Pearl Earring,1,26.77,2824.24,1
mystery_3,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5,52.3,5517.65,1,mystery_3,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5,52.3,5517.65,1
mystery_3,A Time of Torment (Charlie Parker #14),5,48.35,5100.92,1,mystery_3,A Time of Torment (Charlie Parker #14),5,48.35,5100.92,1
